id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
0,Dane's Hat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/danes_hat_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The sun-faded and lightly soiled hat of Dryleaf Dane. Worn low over the eyes, it obscures the wearer's vision. Meeting the gaze of another can overcome the senses, often leading to the downfall of those who would walk the noble and solitary seekers' path.",helm,"[{'Phy': '1.8', 'VS Str.': '2.3', 'VS Sla.': '1.4', 'VS Pie.': '1.4', 'Mag': '5.0', 'Fir': '4.2', 'Lit': '4.5', 'Hol': '5.0'}]","[{'Imm.': '16', 'Rob.': '11', 'Foc.': '33', 'Vit.': '31', 'Poi.': '3'}]",2.2,,This Helm is obtained as a drop upon defeating Dryleaf Dane. [Elden Ring Shadow of the Erdtree Interactive Map],6,1
1,Gaius's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaiuss_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,The black iron helm of Commander Gaius. Part of an armor set patterned after fallen seeds. Gaius was the most senior disciple of the same Alabaster Lord who taught Radahn and Gaea gravitational technique.,helm,"[{'Phy': '6.1', 'VS Str.': '5.6', 'VS Sla.': '7.2', 'VS Pie.': '7.0', 'Mag': '5.0', 'Fir': '4.9', 'Lit': '4.9', 'Hol': '4.9'}]","[{'Imm.': '29', 'Rob.': '35', 'Foc.': '23', 'Vit.': '23', 'Poi.': '12'}]",8.6,,"Purchased from the Enia at the Roundtable Hold, after defeating Commander Gaius.",12,1
2,Oathseeker Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/oathseeker_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"An Oathseeker Knight helm. Black with gold ornamentation. These knights set off on quests of discovery, hoping to find by themselves an oath of their own choosing to serve in perfect, lifelong devotion.",helm,"[{'Phy': '4.4', 'VS Str.': '3.8', 'VS Sla.': '4.2', 'VS Pie.': '4.0', 'Mag': '3.6', 'Fir': '3.4', 'Lit': '2.3', 'Hol': '3.4'}]","[{'Imm.': '12', 'Rob.': '21', 'Foc.': '10', 'Vit.': '9', 'Poi.': '7'}]",4.4,,"Found inside a hanging body, just outside the Church of Benediction. It contains the whole set: Oathseeker Knight Greaves, Oathseeker Knight Gauntlets, Oathseeker Knight Armor, and Oathseeker Knight Helm. It also contains Pata weapon. [See Shadow of the Erdtree Map]",2,1
3,Verdigris Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/verdigris_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Helm made from an unusual metal known as verdigris. Verdigris is said to be the gift of an outer god. Possessed of an enormously hefty yet supple strength thanks to its rusted nature.,helm,"[{'Phy': '7.5', 'VS Str.': '6.4', 'VS Sla.': '7.2', 'VS Pie.': '6.8', 'Mag': '4.8', 'Fir': '4.7', 'Lit': '5.2', 'Hol': '4.7'}]","[{'Imm.': '39', 'Rob.': '46', 'Foc.': '15', 'Vit.': '22', 'Poi.': '15'}]",11.1,,Complete Moore's questline,19,1
4,Pelt of Ralva,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pelt_of_ralva_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The pelt of Ralva the Great Red Bear, worn upon the head without modification. Enhances incantations of what is jokingly called ""Bear Communion."" This untreated hide, won at the end of a bloody bout, is just the thing to make a wild bear out of a warrior.",helm,"[{'Phy': '3.1', 'VS Str.': '3.4', 'VS Sla.': '3.1', 'VS Pie.': '3.1', 'Mag': '4.2', 'Fir': '4.0', 'Lit': '4.5', 'Hol': '4.0'}]","[{'Imm.': '27', 'Rob.': '23', 'Foc.': '22', 'Vit.': '22', 'Poi.': '5'}]",3.6,"Enhances incantations of ""Bear Communion"" by 15%.","This is a helmet type of armor that can be obtained after defeating Ralva the Great Red Bear. It is known to enhance incantations of what is jokingly called ""Bear Communion."" [See Shadow of the Erdtree Map]",6,1
5,Fang Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fang_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Red Bear, whose name is lost to madness. The cheek guards are shaped after lion fangs. Perhaps his fascination with the untamed strength of the wild stemmed from his past as a Redmane.",helm,"[{'Phy': '2.3', 'VS Str.': '2.5', 'VS Sla.': '2.3', 'VS Pie.': '2.3', 'Mag': '3.6', 'Fir': '3.4', 'Lit': '4.0', 'Hol': '3.4'}]","[{'Imm.': '23', 'Rob.': '18', 'Foc.': '16', 'Vit.': '16', 'Poi.': '4'}]",2.7,,Armor piece drops upon defeating the Red Bear located at the Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],4,1
6,Thiollier's Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiolliers_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A mask upon which is carved a tranquil sleeping face. The silver hair is arranged in the same style as St. Trina's, increasing arcane. Just once, Thiollier was granted the sweet repose of velvety sleep. The remainder of his days would be spent attempting to recapture it.",helm,"[{'Phy': '4.4', 'VS Str.': '3.4', 'VS Sla.': '4.0', 'VS Pie.': '3.8', 'Mag': '2.3', 'Fir': '3.1', 'Lit': '2.3', 'Hol': '3.1'}]","[{'Imm.': '15', 'Rob.': '16', 'Foc.': '11', 'Vit.': '0', 'Poi.': '6'}]",3.8,Increases Arcane +3,"Summon Thiollier during the battle at the end of his questline, then loot his body in the boss arena after the fight",19,1
7,High Priest Hat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/high_priest_hat_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The hat of Count Ymir, High Priest. The circular design at the top represents the Greater Will and its lightless abyss, imparting increased intelligence and arcane to the wearer. Though Count Ymir instructed Rellana in the sorcerous arts, he abandoned his allegiance to the moon. ""It was merely the closest of the celestial bodies. Nothing more.""",helm,"[{'Phy': '1.8', 'VS Str.': '2.1', 'VS Sla.': '1.4', 'VS Pie.': '0.9', 'Mag': '4.6', 'Fir': '4.5', 'Lit': '4.4', 'Hol': '4.5'}]","[{'Imm.': '18', 'Rob.': '10', 'Foc.': '27', 'Vit.': '33', 'Poi.': '3'}]",1.7,Increases Intelligence +1 and Arcane +1,"Dropped by Count Ymir, Mother of Fingers, who can be found in the Cathedral of Manus Metyr after interacting with the throne, you can only find Count Ymir there after you have defeated Metyr, Mother of Fingers. [Elden Ring Shadow of the Erdtree Map]",6,1
8,Caterpillar Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/caterpillar_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Grotesque mask constructed from countless solidified caterpillars. A ritual implement of the greater potentates of Bonny Village. Used to ward off thoughts of impurity, doubt, temptation, and other wickednesses one is vulnerable to while absorbed in divine ritual.",helm,"[{'Phy': '1.8', 'VS Str.': '1.4', 'VS Sla.': '1.4', 'VS Pie.': '0.9', 'Mag': '4.5', 'Fir': '3.8', 'Lit': '4.2', 'Hol': '4.6'}]","[{'Imm.': '16', 'Rob.': '9', 'Foc.': '45', 'Vit.': '25', 'Poi.': '2'}]",1.4,,Complete Hornsent quest.,19,1
9,Dancer's Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancers_hood_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Bright-red hood of the Ranah dancers. Enhances the power of dancing attacks. The dance of Ranah is one of burning passion, and the most passionate dancers never allow their fiery dance to end, losing even their names as they dance on. To see the passion fade is to see the dancer's flame extinguished.",helm,"[{'Phy': '0.9', 'VS Str.': '0.2', 'VS Sla.': '1.8', 'VS Pie.': '0.2', 'Mag': '4.4', 'Fir': '4.4', 'Lit': '4.0', 'Hol': '4.2'}]","[{'Imm.': '15', 'Rob.': '10', 'Foc.': '24', 'Vit.': '26', 'Poi.': '1'}]",1.0,Enhances the power of dancing attacks by 2.5%.,Dropped by defeating Dancer of Ranah at the Southern Nameless Mausoleum [Elden Ring Shadow of the Erdtree Interactive Map],9,1
10,Helm of Night,http://eldenring.wiki.fextralife.com/file/Elden-Ring/helm_of_night_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Bottomless black helm, cool to the touch.Flowing lines in the seeming shape of a fingerprint adorn the surface. Imprisons the wearer in utterly lightless dark.Bestowed upon those born deep underground, ordaining them as Swordhands of Night.",helm,"[{'Phy': '2.5', 'VS Str.': '2.5', 'VS Sla.': '2.8', 'VS Pie.': '2.8', 'Mag': '4.4', 'Fir': '3.4', 'Lit': '3.4', 'Hol': '4.5'}]","[{'Imm.': '23', 'Rob.': '14', 'Foc.': '20', 'Vit.': '20', 'Poi.': '4'}]",3.0,,"Bonny Gaol: Use the jar lift near the bridge twice to reach the top level of the gaol. First, hop on the jar, go to the bridge level, and activate the switch. Ride the jar lift for the second time to go to the top level. You can find the Night Set on a corpse laying on top of a table. [See SOTE Elden Ring DLC Map] [Video Link]",6,1
11,Igon's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of the broken drake warrior Igon, from a set of armor comprised of a miscellany of parts. This tattered protective-wear is shaped like a bugle. The poor scavenger of battlefields found honor through Dragon Communion.",helm,"[{'Phy': '3.1', 'VS Str.': '3.4', 'VS Sla.': '3.1', 'VS Pie.': '3.1', 'Mag': '3.6', 'Fir': '3.8', 'Lit': '4.0', 'Hol': '3.6'}]","[{'Imm.': '26', 'Rob.': '16', 'Foc.': '22', 'Vit.': '22', 'Poi.': '5'}]",3.3,,Loot Igon after defeating Bayle the Dread.,14,1
12,Igon's Helm (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_helm_(altered)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of the broken drake warrior Igon, from a set of armor comprised of a miscellany of parts. Patched with scraps of cloth. The poor scavenger of battlefields found honor through Dragon Communion.",helm,"[{'Phy': '2.8', 'VS Str.': '3.1', 'VS Sla.': '2.8', 'VS Pie.': '2.8', 'Mag': '3.4', 'Fir': '3.6', 'Lit': '3.8', 'Hol': '3.4'}]","[{'Imm.': '24', 'Rob.': '15', 'Foc.': '20', 'Vit.': '20', 'Poi.': '5'}]",3.0,,Alter Igon's Helm at any Site of Grace,14,1
13,Wise Man's Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wise_mans_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The iron mask of Sir Ansbach, giving the appearance of a quiet, wise, old bearded man. But an old fear lurks beneath, together with the cold, unflinching discipline that once honed his blade, now employed to enhance Blood Oath and dynastic skills.",helm,"[{'Phy': '4.2', 'VS Str.': '3.6', 'VS Sla.': '4.4', 'VS Pie.': '4.0', 'Mag': '3.1', 'Fir': '4.0', 'Lit': '2.3', 'Hol': '3.1'}]","[{'Imm.': '11', 'Rob.': '24', 'Foc.': '9', 'Vit.': '10', 'Poi.': '7'}]",4.0,Enhances Blood Oath and dynastic skills by 5%.,"Complete Sir Ansbach's questline all the way through the end, and side with him when facing Leda, and then Promised Consort Radahn/ Radahn, Consort of Miquella. After the fight is over, Sir Ansbach's body will be near the site of grace, alongside with his equipment and his Incantation. [Map Link]",19,1
14,Freyja's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyjas_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden helm of Redmane Freyja, member of General Radahn's most distinguished knights. A hideous scarlet wound was once hewn into the center of her face. Later, Miquella gently put his lips to it and the unfading scar became the compass that Freyja would thereafter follow.",helm,"[{'Phy': '5.5', 'VS Str.': '4.2', 'VS Sla.': '4.8', 'VS Pie.': '4.8', 'Mag': '4.0', 'Fir': '4.2', 'Lit': '3.8', 'Hol': '4.2'}]","[{'Imm.': '13', 'Rob.': '28', 'Foc.': '9', 'Vit.': '12', 'Poi.': '8'}]",5.8,,Drop by Redmane Freyja.,19,1
