id,weapon_id,name,image,weight,description,dlc,requirements,damage type,category,passive effect,skill,FP cost
0,1,Dueling Shield,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dueling_shield_thrusting_shields_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,9.0,"A ""thrusting shield,"" or combined weapon and shield. Enables the wielder to attack and guard simultaneously. An armament once used in ritual combat performed to honor the Erdtreea custom that had somehow remained within the realm of shadow.",1,"{'Str': 15, 'Dex': 14}",Standard/Pierce,Thrusting Shields,No passive effects,Shield Strike,0
1,2,Carian Thrusting Shield,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_thrusting_shield_thrusting_shields_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,10.5,"Silver thrusting shield embedded with glintstones. Enables the wielder to attack and guard simultaneously. Once wielded by Rellana, the Twin Moon Knight, during her sole entry into ritual combata demonstration of fidelity to the Erdtree.",1,"{'Str': 17, 'Dex': 13, 'Int': 15}",Standard/Pierce,Thrusting Shields,No passive effects,Shield Strike,0
2,3,Dryleaf Arts,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf_arts_hand-to-hand_arts_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"A technique for hand-to-hand combat without the aid of a weapon. This martial art combines fist strikes and kicks. The teachings of a group of spiritual seekers known as the Dryleaf Sect, revealed only to those of worthy valor and character. The practice of this martial art marks the dawn of an ascetic's journey.",1,"{'Str': 8, 'Dex': 8}",Strike,Hand-to-Hand Arts,No passive effects,Palm Blast,14
3,4,Dane's Footwork,http://eldenring.wiki.fextralife.com/file/Elden-Ring/danes_footwork_hand-to-hand_arts_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"A technique for hand-to-hand combat without the aid of a weapon. This martial art focuses on kicking techniques. This kick-based martial art is unique to Dane, a Dryleaf and sworn ally of Leda. He acquired these skills by training with the aid of a waterfall; letting the water beat his body, and throwing himself into its basin.",1,"{'Str': 8, 'Dex': 8}",Strike,Hand-to-Hand Arts,No passive effects,Palm Blast,14
4,5,Smithscript Dagger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithscript_dagger_throwing_blade_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.5,"Dagger engraved with a smithscript. Reduced mass enhances the effects of the smithing arts, allowing this weapon to function as a throwing dagger for all attacks. Once thrown, the dagger instantly reappears in the wielder's hand.",1,"{'Str': 5, 'Dex': 11, 'Int': 11, 'Fai': 11}",Pierce,Throwing Blades,No passive effects,Piercing Throw,6
5,6,Backhand Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/backhand_blade_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.0,Curved blade wielded with a backhand grip. A type of weapon wielded by hornsent for generations. The style of combat associated with this weapon is marked by spinning slashes and gouging thrust attacks.,1,"{'Str': 10, 'Dex': 13}",Slash/Pierce,Backhand Blades,No passive effects,Blind Spot,9
6,7,Smithscript Cirque,http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithscript_cirque_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.0,"Circular backhand blade engraved with a smithscript. A throwing weapon created through the smithing arts. Execute a strong attack to throw the backhand blade, causing it to fly in a curved trajectory.",1,"{'Str': 9, 'Dex': 14, 'Int': 11, 'Fai': 11}",Slash,Backhand Blades,No passive effects,Blind Spot,9
7,8,Curseblade's Cirque,http://eldenring.wiki.fextralife.com/file/Elden-Ring/curseblades_cirque_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,4.5,"Weapon of the masked Curseblades. Circular backhand blade with wave-like cutting edges, sharpened into points that incite blood loss. Long ago, this was employed by the ascetics who strove to become tutelary deities as a ritualistic object in their self-flagellating dances.",1,"{'Str': 9, 'Dex': 22}",Slash,Backhand Blades,(45) Hemorrhage,Deadly Dance,15
8,9,Firespark Perfume Bottle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firespark_perfume_bottle_perfume_bottles_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"Perfume bottle remade into a weapon by perfumers of the realm of shadow. Attacks release perfumed powder, producing sparks of fire. The crusade was a violent purge, and the perfumers were not called there to heal.",1,"{'Str': 3, 'Dex': 14}",Standard,Perfume Bottles,No passive effects,Kick,0
9,10,Chilling Perfume Bottle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chilling_perfume_bottle_perfume_bottles_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"Perfume bottle remade into a weapon by perfumers of the realm of shadow. Attacks release perfumed powder, producing an icy chill. From time to time, perfumers set out on journeys to pursue new aromatics and flower gardens.",1,"{'Str': 3, 'Dex': 13, 'Int': 13}",Standard,Perfume Bottles,(60) Frostbite,Kick,0
